index,series_id,timestamp,consumption,temperature,surface,base_temperature,day_off_count,day_name,hour,day,week,month,year,dayofweek,dayofyear,session,is_night,is_day_off,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,month_sin,month_cos,hour_sin,hour_cos,large,medium,small,x-large,x-small,xx-large,xx-small,high,low,encoded_base_temperature,encoded_surface,encoded_session,Set,consumption_pred
346288.0,100807,2017-01-25 00:00:00,3811.42720872769,5.36666666666667,medium,low,2,Wednesday,0,25,4,1,2017,2,25,Late Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,77538.96913470299,Train,
173972.0,100807,2017-01-25 01:00:00,7920.02825240605,6.5,medium,low,2,Wednesday,1,25,4,1,2017,2,25,Late Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860196,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,77538.96913470299,Train,
149291.0,100807,2017-01-25 02:00:00,8403.79961162806,5.55,medium,low,2,Wednesday,2,25,4,1,2017,2,25,Late Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860189,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,77538.96913470299,Train,
370270.0,100807,2017-01-25 03:00:00,7533.01116502844,4.66666666666667,medium,low,2,Wednesday,3,25,4,1,2017,2,25,Late Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386021,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,77538.96913470299,Train,
169333.0,100807,2017-01-25 04:00:00,8037.51558250282,4.55,medium,low,2,Wednesday,4,25,4,1,2017,2,25,Late Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860212,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,77538.96913470299,Train,
243554.0,100807,2017-01-25 05:00:00,8624.95223298669,4.1,medium,low,2,Wednesday,5,25,4,1,2017,2,25,Early Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860215,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,102355.45131770243,Train,
101694.0,100807,2017-01-25 06:00:00,7951.12783978461,2.83333333333333,medium,low,2,Wednesday,6,25,4,1,2017,2,25,Early Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860181,0.9991320700239182,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,102355.45131770243,Train,
8162.0,100807,2017-01-25 07:00:00,16019.743009666,1.8,medium,low,2,Wednesday,7,25,4,1,2017,2,25,Early Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860184,0.9991320700239182,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,102355.45131770243,Train,
231858.0,100807,2017-01-25 08:00:00,14015.5473786034,1.35,medium,low,2,Wednesday,8,25,4,1,2017,2,25,Early Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860186,0.9991320700239182,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,102355.45131770243,Train,
133286.0,100807,2017-01-25 09:00:00,14886.335825203,2.36,medium,low,2,Wednesday,9,25,4,1,2017,2,25,Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860189,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,140487.17575832587,Train,
262913.0,100807,2017-01-25 10:00:00,14188.3228640398,3.05,medium,low,2,Wednesday,10,25,4,1,2017,2,25,Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860191,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,140487.17575832587,Train,
233004.0,100807,2017-01-25 11:00:00,14499.3187378254,4.2,medium,low,2,Wednesday,11,25,4,1,2017,2,25,Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860336,0.9991320700239176,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,140487.17575832587,Train,
415814.0,100807,2017-01-25 12:00:00,14630.6281067571,7.85,medium,low,2,Wednesday,12,25,4,1,2017,2,25,Morning,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860267,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,140487.17575832587,Train,
178221.0,100807,2017-01-25 13:00:00,14789.5815533586,10.25,medium,low,2,Wednesday,13,25,4,1,2017,2,25,Noon,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860199,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,134517.73411390145,Train,
160175.0,100807,2017-01-25 14:00:00,13638.896820352,11.35,medium,low,2,Wednesday,14,25,4,1,2017,2,25,Noon,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860272,0.9991320700239178,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,134517.73411390145,Train,
73650.0,100807,2017-01-25 15:00:00,12135.750097055,12.24,medium,low,2,Wednesday,15,25,4,1,2017,2,25,Noon,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860345,0.9991320700239176,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,134517.73411390145,Train,
193063.0,100807,2017-01-25 16:00:00,13549.053567925,12.75,medium,low,2,Wednesday,16,25,4,1,2017,2,25,Noon,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860277,0.9991320700239178,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,134517.73411390145,Train,
246142.0,100807,2017-01-25 17:00:00,13593.9751941385,11.95,medium,low,2,Wednesday,17,25,4,1,2017,2,25,Eve,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860208,0.999132070023918,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,117301.30637922043,Train,
98919.0,100807,2017-01-25 18:00:00,12626.4324756945,11.75,medium,low,2,Wednesday,18,25,4,1,2017,2,25,Eve,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860282,0.9991320700239178,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,117301.30637922043,Train,
275835.0,100807,2017-01-25 19:00:00,11461.9257038529,11.15,medium,low,2,Wednesday,19,25,4,1,2017,2,25,Eve,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860355,0.9991320700239176,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,117301.30637922043,Train,
177916.0,100807,2017-01-25 20:00:00,9291.86560677132,11.8,medium,low,2,Wednesday,20,25,4,1,2017,2,25,Eve,False,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860287,0.9991320700239178,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,117301.30637922043,Train,
275836.0,100807,2017-01-25 21:00:00,9419.71946599428,11.3666666666667,medium,low,2,Wednesday,21,25,4,1,2017,2,25,Night,True,False,0.9749279121818236,-0.2225209339563143,-0.0027397225999437,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.0416546113860076,0.9991320700239188,0,1,0,0,0,0,0,0,1,110627.08807536264,51263.20890726967,86606.18160614297,Train,
