series_id,timestamp,consumption,temperature,surface,base_temperature,day_off_count,day_name,hour,day,week,month,year,dayofweek,dayofyear,session,is_night,is_day_off,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,month_sin,month_cos,hour_sin,hour_cos,large,medium,small,x-large,x-small,xx-large,xx-small,high,low,encoded_base_temperature,encoded_surface,encoded_session,Set,index,consumption_pred
100807,2017-01-29,970932.5734682824,1335.1899999999998,medium,low,2,Sunday,0,29,4,1,2017,6,29,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999447,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Train,27590945.0,
100807,2017-02-05,1348136.0132731008,2288.6649999999995,medium,low,2,Sunday,0,5,5,2,2017,6,36,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999535,0.9999962469529948,-0.0832369162003113,0.9965297867005594,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Train,37840550.0,970932.5734682824
100807,2017-02-12,1143981.044171704,1750.4466666666654,medium,low,2,Sunday,0,12,6,2,2017,6,43,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999908,0.9999962469529948,-0.0832369162003113,0.9965297867005594,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Train,35711288.0,1348136.0132731008
100807,2017-02-19,1170989.3080551275,2188.21,medium,low,2,Sunday,0,19,7,2,2017,6,50,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999712,0.9999962469529948,-0.0832369162003113,0.9965297867005594,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Train,35222147.0,1143981.044171704
100807,2017-02-26,398705.3489673824,689.0416666666666,medium,low,2,Sunday,0,26,8,2,2017,6,57,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397226000084,0.9999962469529948,-0.0832369162003113,0.9965297867005594,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Test,11381299.0,1170989.3080551275
101079,2016-10-02,55316.17294587197,0.0,x-large,low,2,Sunday,0,2,39,10,2016,6,276,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999555,0.9999962469529948,-0.083236916200315,0.996529786700559,-0.041654611386019,0.999132070023918,0,0,0,1,0,0,0,0,1,15263561.640820395,11252942.8559441,15087113.489117231,Train,19642705.0,
101079,2016-10-09,120012.6622539386,0.0,x-large,low,2,Sunday,0,9,40,10,2016,6,283,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.002739722599879,0.9999962469529952,-0.083236916200315,0.996529786700559,-0.041654611386019,0.999132070023918,0,0,0,1,0,0,0,0,1,15263561.640820395,11252942.8559441,15087113.489117231,Train,40624981.0,55316.17294587197
101079,2016-10-16,125253.14179617914,0.0,x-large,low,2,Sunday,0,16,41,10,2016,6,290,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.00273972260003,0.9999962469529948,-0.083236916200315,0.996529786700559,-0.041654611386019,0.999132070023918,0,0,0,1,0,0,0,0,1,15263561.640820395,11252942.8559441,15087113.489117231,Train,35356604.0,120012.6622539386
101079,2016-10-23,122256.55322324485,0.0,x-large,low,2,Sunday,0,23,42,10,2016,6,297,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999535,0.9999962469529948,-0.083236916200315,0.996529786700559,-0.041654611386019,0.999132070023918,0,0,0,1,0,0,0,0,1,15263561.640820395,11252942.8559441,15087113.489117231,Train,35447657.0,125253.14179617914
101079,2016-10-30,58483.18361774088,0.0,x-large,low,2,Sunday,0,30,43,10,2016,6,304,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397226001044,0.9999962469529946,-0.083236916200315,0.996529786700559,-0.041654611386019,0.999132070023918,0,0,0,1,0,0,0,0,1,15263561.640820395,11252942.8559441,15087113.489117231,Test,17316074.0,122256.55322324485
101132,2017-05-07,2273689.825900078,1520.8499999999997,small,low,0,Sunday,0,7,18,5,2017,6,127,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999261,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,0,1,0,0,0,0,0,1,15263561.640820395,21046172.929639302,15087113.489117231,Train,28820606.0,
101132,2017-05-14,2993995.805722207,2863.5750000000016,small,low,0,Sunday,0,14,19,5,2017,6,134,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999633,0.9999962469529948,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,0,1,0,0,0,0,0,1,15263561.640820395,21046172.929639302,15087113.489117231,Train,37399615.0,2273689.825900078
101132,2017-05-21,3526210.3680243497,3312.3,small,low,0,Sunday,0,21,20,5,2017,6,141,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397226000006,0.9999962469529948,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,0,1,0,0,0,0,0,1,15263561.640820395,21046172.929639302,15087113.489117231,Train,34531706.0,2993995.805722207
101132,2017-05-28,5706084.11788116,3634.15,small,low,0,Sunday,0,28,21,5,2017,6,148,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999241,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,0,1,0,0,0,0,0,1,15263561.640820395,21046172.929639302,15087113.489117231,Train,36648294.0,3526210.3680243497
101132,2017-06-04,1897469.953325149,1162.75,small,low,0,Sunday,0,4,22,6,2017,6,155,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.0027397225999614,0.9999962469529948,-0.083236916200314,0.9965297867005593,-0.041654611386019,0.999132070023918,0,0,1,0,0,0,0,0,1,15263561.640820395,21046172.929639302,15087113.489117231,Test,10890047.0,5706084.11788116
101208,2016-05-22,6176642.5167463785,0.0,medium,low,2,Sunday,0,22,20,5,2016,6,143,Late Night,True,True,-0.7818314824680299,0.6234898018587334,-0.00273972259993,0.999996246952995,-0.0832369162003102,0.9965297867005596,-0.041654611386019,0.999132070023918,0,1,0,0,0,0,0,0,1,15263561.640820395,7153318.593748872,15087113.489117231,Train,38125730.0,
